Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Steel or iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Industrial (Acidic Rain),0.1,2.82,0.3,2.0,0.058611,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (passive),"Nickel, Cobalt",16,0.45,Industrial (Acidic Rain),0.1,6.411,5.0,2.0,0.178556,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Steel or iron,"Steels-Carbon, Low Alloy",6,0.42,Rural (Freshwater),0.01,0.684,0.1,0.3,0.00302,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.14,Marine (Seawater),5.0,0.925,5.0,10.0,0.009343,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.03,Marine (Seawater),5.0,1.195,5.0,0.3,0.006298,Compatible
Magnesium and magnesium alloys,Magnesium,1,Inconel (active),"Nickel, Cobalt",16,1.25,Rural (Freshwater),0.01,0.206,0.1,2.0,0.002557,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.57,Marine (Seawater),5.0,1.566,2.0,10.0,0.073439,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.41,Industrial (Acidic Rain),0.1,0.134,0.3,1.0,0.005032,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.25,Marine (Seawater),5.0,0.056,2.0,5.0,0.001914,Compatible
Nickel (active),"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.23,Industrial (Acidic Rain),0.1,3.434,2.0,1.0,0.059181,Compatible
Silver solder,Silver,18,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.36,Marine (Seawater),5.0,0.631,10.0,10.0,0.010982,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.14,Industrial (Acidic Rain),0.1,0.403,5.0,10.0,0.002393,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.66,Marine (Seawater),5.0,47.056,5.0,10.0,2.112314,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Silver,Silver,18,0.24,Industrial (Acidic Rain),0.1,2.57,1.0,10.0,0.028003,Compatible
Copper,"Copper-High Nickel, Monel",15,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.03,Marine (Seawater),5.0,1.474,1.0,1.0,0.020301,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Industrial (Acidic Rain),0.1,3.978,5.0,2.0,0.044554,Compatible
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,1.5,Industrial (Acidic Rain),0.1,0.074,0.1,5.0,0.006847,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Rural (Freshwater),0.01,0.946,0.3,5.0,0.003933,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Chlorimet 2,"Nickel, Cobalt",16,1.32,Industrial (Acidic Rain),0.1,0.379,0.1,2.0,0.041066,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Graphite,Graphite,20,0.17,Industrial (Acidic Rain),0.1,1.989,2.0,10.0,0.015996,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Cast iron,"Steels-Carbon, Low Alloy",6,0.12,Industrial (Acidic Rain),0.1,0.517,0.1,0.3,0.005656,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Industrial (Acidic Rain),0.1,0.824,5.0,1.0,0.013847,Compatible
Magnesium and magnesium alloys,Magnesium,1,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,1.52,Rural (Freshwater),0.01,0.229,0.1,5.0,0.003444,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.38,Marine (Seawater),5.0,0.694,0.3,1.0,0.177015,Unfavorable
Lead,Lead,7,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.32,Rural (Freshwater),0.01,1.062,0.3,1.0,0.003166,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.02,Rural (Freshwater),0.01,1.806,1.0,1.0,0.000371,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Tin,"Tin, Tin-Lead, Indium",8,0.11,Industrial (Acidic Rain),0.1,3.657,5.0,0.3,0.026258,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.53,Rural (Freshwater),0.01,0.383,0.1,1.0,0.001774,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Industrial (Acidic Rain),0.1,2.196,5.0,10.0,0.067972,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Graphite,Graphite,20,0.74,Industrial (Acidic Rain),0.1,9.813,0.3,10.0,0.342,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.06,Marine (Seawater),5.0,0.062,1.0,1.0,0.001688,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver solder,Silver,18,0.03,Marine (Seawater),5.0,0.102,1.0,10.0,0.000268,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.57,Rural (Freshwater),0.01,0.392,0.3,2.0,0.002276,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Graphite,Graphite,20,1.73,Rural (Freshwater),0.01,0.639,0.1,10.0,0.009473,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.01,Rural (Freshwater),0.01,0.983,5.0,2.0,9.3e-05,Compatible
Cadmium,"Cadmium, Beryllium",3,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.52,Rural (Freshwater),0.01,23.066,0.1,1.0,0.122927,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.02,Rural (Freshwater),0.01,0.04,2.0,2.0,8e-06,Compatible
Cadmium,"Cadmium, Beryllium",3,Titanium,Titanium,17,0.76,Industrial (Acidic Rain),0.1,0.151,0.1,10.0,0.005441,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Industrial (Acidic Rain),0.1,0.076,2.0,10.0,0.000631,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.77,Marine (Seawater),5.0,0.497,0.3,10.0,0.0377,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.34,Marine (Seawater),5.0,0.678,0.3,5.0,0.041074,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Lead,Lead,7,0.14,Marine (Seawater),5.0,5.025,0.3,0.3,0.91506,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.05,Industrial (Acidic Rain),0.1,3.105,1.0,1.0,0.013278,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Industrial (Acidic Rain),0.1,0.623,0.3,5.0,0.022553,Compatible
Silver solder,Silver,18,Titanium,Titanium,17,0.2,Rural (Freshwater),0.01,0.135,10.0,10.0,0.000231,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.4,Rural (Freshwater),0.01,4.269,0.3,5.0,0.016167,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Silver,Silver,18,0.32,Industrial (Acidic Rain),0.1,3.533,2.0,10.0,0.05479,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.53,Rural (Freshwater),0.01,1.053,5.0,2.0,0.005421,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.37,Marine (Seawater),5.0,0.201,0.1,2.0,0.032989,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver,Silver,18,0.77,Industrial (Acidic Rain),0.1,0.353,0.1,10.0,0.01379,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Graphite,Graphite,20,0.82,Rural (Freshwater),0.01,0.381,0.1,10.0,0.00286,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.27,Industrial (Acidic Rain),0.1,0.59,0.3,1.0,0.015238,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.5,Rural (Freshwater),0.01,0.707,2.0,10.0,0.003171,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.44,Marine (Seawater),5.0,14.64,2.0,10.0,0.514881,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.69,Rural (Freshwater),0.01,2.536,0.1,2.0,0.017674,Unfavorable
Lead,Lead,7,Nickel (passive),"Nickel, Cobalt",16,0.35,Rural (Freshwater),0.01,2.401,0.3,2.0,0.008401,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Rural (Freshwater),0.01,0.646,2.0,5.0,0.000124,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver solder,Silver,18,0.43,Industrial (Acidic Rain),0.1,0.079,5.0,10.0,0.001371,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.25,Marine (Seawater),5.0,1.062,2.0,5.0,0.037384,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.47,Marine (Seawater),5.0,0.659,0.1,1.0,0.267891,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.34,Industrial (Acidic Rain),0.1,1.709,5.0,1.0,0.037333,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Titanium,Titanium,17,0.76,Industrial (Acidic Rain),0.1,0.236,0.1,10.0,0.008872,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Steel or iron,"Steels-Carbon, Low Alloy",6,0.0,Industrial (Acidic Rain),0.1,1.832,0.3,0.3,0.0,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.1,Rural (Freshwater),0.01,2.055,2.0,1.0,0.001809,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver solder,Silver,18,0.55,Rural (Freshwater),0.01,0.612,0.1,10.0,0.003158,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Gold,"Palladium, Rhodium, Gold, Platinum",19,1.76,Rural (Freshwater),0.01,0.173,0.1,10.0,0.002666,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.26,Marine (Seawater),5.0,0.214,2.0,10.0,0.004618,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.42,Industrial (Acidic Rain),0.1,1.08,0.3,5.0,0.028335,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.52,Rural (Freshwater),0.01,1.302,5.0,5.0,0.005618,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.06,Marine (Seawater),5.0,1.823,5.0,2.0,0.015719,Unfavorable
Lead,Lead,7,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.69,Marine (Seawater),5.0,2.637,0.3,10.0,0.172443,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Industrial (Acidic Rain),0.1,4.355,0.3,2.0,0.106051,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Rural (Freshwater),0.01,1.764,5.0,2.0,0.003226,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.5,Marine (Seawater),5.0,1.055,2.0,10.0,0.045514,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.46,Rural (Freshwater),0.01,6.816,0.3,2.0,0.032312,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Lead-tin solders,"Tin, Tin-Lead, Indium",8,1.1,Rural (Freshwater),0.01,0.981,0.1,0.3,0.010272,Unfavorable
Silver solder,Silver,18,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.02,Industrial (Acidic Rain),0.1,3.859,10.0,1.0,0.003576,Compatible
Magnesium and magnesium alloys,Magnesium,1,Silver,Silver,18,1.64,Industrial (Acidic Rain),0.1,0.832,0.1,10.0,0.065648,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Tin,"Tin, Tin-Lead, Indium",8,0.15,Marine (Seawater),5.0,1.979,5.0,0.3,0.053693,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.11,Rural (Freshwater),0.01,0.205,0.3,0.3,0.000233,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Silver solder,Silver,18,0.39,Industrial (Acidic Rain),0.1,0.698,5.0,10.0,0.011415,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.02,Rural (Freshwater),0.01,0.655,5.0,5.0,0.000118,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.05,Rural (Freshwater),0.01,0.165,5.0,5.0,7.4e-05,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Graphite,Graphite,20,0.31,Industrial (Acidic Rain),0.1,4.219,1.0,10.0,0.060395,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Rural (Freshwater),0.01,0.683,5.0,10.0,0.004531,Unfavorable
Lead,Lead,7,Nickel (passive),"Nickel, Cobalt",16,0.35,Rural (Freshwater),0.01,13.065,0.3,2.0,0.045703,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.01,Industrial (Acidic Rain),0.1,0.559,5.0,2.0,0.000324,Compatible
Nickel (passive),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.08,Industrial (Acidic Rain),0.1,0.232,2.0,2.0,0.001291,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (active),"Nickel, Cobalt",16,0.34,Industrial (Acidic Rain),0.1,0.397,0.1,2.0,0.010472,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Silver solder,Silver,18,0.36,Industrial (Acidic Rain),0.1,2.497,0.3,10.0,0.042565,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.33,Marine (Seawater),5.0,1.025,1.0,10.0,0.030995,Unfavorable
Lead,Lead,7,Nickel (active),"Nickel, Cobalt",16,0.12,Rural (Freshwater),0.01,1.128,0.3,2.0,0.001329,Compatible
Copper,"Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.08,Rural (Freshwater),0.01,1.926,1.0,1.0,0.001473,Compatible
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.01,Industrial (Acidic Rain),0.1,2.421,5.0,2.0,0.001517,Compatible
Lead,Lead,7,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.43,Rural (Freshwater),0.01,0.532,0.3,2.0,0.002084,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.02,Rural (Freshwater),0.01,5.124,1.0,1.0,0.00097,Compatible
Magnesium and magnesium alloys,Magnesium,1,Titanium,Titanium,17,1.66,Marine (Seawater),5.0,2.587,0.1,10.0,0.383313,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.77,Marine (Seawater),5.0,0.075,0.3,10.0,0.005052,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.02,Marine (Seawater),5.0,0.499,5.0,5.0,0.000996,Compatible
Zinc,"Zinc, Zinc Coating",2,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.7,Marine (Seawater),5.0,0.781,0.1,2.0,0.233502,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.0,Marine (Seawater),5.0,0.668,5.0,5.0,0.0,Compatible
Nickel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Rural (Freshwater),0.01,0.054,2.0,1.0,0.0001,Compatible
Zinc,"Zinc, Zinc Coating",2,Inconel (active),"Nickel, Cobalt",16,0.68,Marine (Seawater),5.0,24.936,0.1,2.0,7.196125,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,0.411,5.0,1.0,0.00917,Compatible
Nickel (passive),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.08,Industrial (Acidic Rain),0.1,0.02,2.0,2.0,0.00012,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.21,Industrial (Acidic Rain),0.1,1.293,1.0,10.0,0.01306,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.51,Rural (Freshwater),0.01,1.083,0.3,2.0,0.005743,Unfavorable
Silver solder,Silver,18,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.3,Industrial (Acidic Rain),0.1,0.595,10.0,10.0,0.005484,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.04,Rural (Freshwater),0.01,0.187,0.1,0.1,7.2e-05,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.55,Marine (Seawater),5.0,3.417,2.0,10.0,0.153583,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.03,Marine (Seawater),5.0,1.754,1.0,1.0,0.021593,Compatible
Cadmium,"Cadmium, Beryllium",3,Nickel (passive),"Nickel, Cobalt",16,0.58,Rural (Freshwater),0.01,0.517,0.1,2.0,0.002733,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.57,Marine (Seawater),5.0,4.166,0.1,1.0,1.904051,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Lead,Lead,7,0.14,Rural (Freshwater),0.01,1.225,0.3,0.3,0.001796,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Cast iron,"Steels-Carbon, Low Alloy",6,0.12,Industrial (Acidic Rain),0.1,1.331,0.1,0.3,0.01566,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Nickel (active),"Nickel, Cobalt",16,0.35,Marine (Seawater),5.0,0.319,0.1,2.0,0.050039,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chlorimet 2,"Nickel, Cobalt",16,0.05,Industrial (Acidic Rain),0.1,0.434,2.0,2.0,0.001508,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,0.216,0.3,2.0,0.015967,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Silver,Silver,18,0.08,Industrial (Acidic Rain),0.1,0.065,2.0,10.0,0.000234,Compatible
Tin,"Tin, Tin-Lead, Indium",8,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.09,Marine (Seawater),5.0,0.581,0.3,2.0,0.020957,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.07,Rural (Freshwater),0.01,0.282,1.0,5.0,0.000176,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.06,Marine (Seawater),5.0,0.506,0.3,0.3,0.036212,Compatible
Cadmium,"Cadmium, Beryllium",3,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.37,Marine (Seawater),5.0,0.029,0.1,2.0,0.005359,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.51,Industrial (Acidic Rain),0.1,6.152,0.1,1.0,0.265348,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.49,Industrial (Acidic Rain),0.1,0.881,2.0,10.0,0.018919,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.44,Marine (Seawater),5.0,18.92,0.3,1.0,5.366118,Unfavorable
Gold,"Palladium, Rhodium, Gold, Platinum",19,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.06,Rural (Freshwater),0.01,11.482,10.0,10.0,0.006087,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.89,Industrial (Acidic Rain),0.1,2.188,0.1,10.0,0.096912,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Rural (Freshwater),0.01,0.786,0.1,5.0,0.001472,Compatible
Silver,Silver,18,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.18,Industrial (Acidic Rain),0.1,3.745,10.0,10.0,0.021143,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Marine (Seawater),5.0,8.693,5.0,1.0,0.412866,Compatible
Zinc,"Zinc, Zinc Coating",2,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.48,Industrial (Acidic Rain),0.1,6.385,0.1,0.3,0.292068,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Graphite,Graphite,20,1.73,Marine (Seawater),5.0,0.13,0.1,10.0,0.020782,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.11,Industrial (Acidic Rain),0.1,1.645,1.0,2.0,0.012453,Compatible
